@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {BoatPose, UpwardPlank, BowPose, TheTree, Bridge, TheExtendedSideAngle, ChildsPose, StandingStill, CobraPose, StandingMoving, DownwardFacingDog, SeatedForwardBend, MeditationPose, Plank}

@data
0.0791016, -0.0234375, -1.00195, ChildsPose
0.0789795, -0.0233002, -1.00195, ChildsPose
0.0791016, -0.023468, -1.00195, ChildsPose
0.0786133, -0.0241852, -1.00195, ChildsPose
-1, -0.0319824, -0.0663452, StandingStill
-1, -0.0422974, -0.0703125, StandingStill
-1, -0.0392761, -0.0701904, StandingStill
-1, -0.0578613, -0.0784302, StandingStill
-1, -0.0582886, -0.0725098, StandingStill
-1, -0.0575562, -0.0639648, StandingStill
-1, -0.056427, -0.0462646, StandingStill
-1, -0.0534058, -0.062561, StandingStill
-1, -0.0506287, -0.0807495, StandingStill
-1, -0.0577393, -0.0670166, StandingStill
-1, -0.0547791, -0.0679321, StandingStill
-1, -0.0579834, -0.0738525, StandingStill
-1, -0.056427, -0.0690308, StandingStill
-1, -0.0542908, -0.0792847, StandingStill
-1.00977, -0.0397949, -0.0511475, StandingStill
-0.992188, -0.0322266, -0.0632935, StandingStill
-1.00098, -0.0289001, -0.049469, StandingStill
-1.00293, -0.0233612, -0.0498962, StandingStill
-1, -0.0328674, -0.0515442, StandingStill
-1.00293, -0.0161743, -0.046814, StandingStill
-1.00098, -0.0260925, -0.0492554, StandingStill
-1, -0.0183868, -0.0523987, StandingStill
-1.00195, -0.015274, -0.0517578, StandingStill
-1.00293, -0.0151596, -0.0544128, StandingStill
-1.00195, -0.0157471, -0.0557556, StandingStill
-1, -0.012619, -0.0574646, StandingStill
-1.00098, -0.0135803, -0.0565491, StandingStill
-1.00098, -0.00879669, -0.0555115, StandingStill
-1, -0.0104675, -0.0530701, StandingStill
-1, -0.0096283, -0.054718, StandingStill
-1, -0.0102539, -0.0553894, StandingStill
-1.00195, -0.0114059, -0.0575562, StandingStill
-1, -0.0153046, -0.0581055, StandingStill
-0.998047, -0.0161896, -0.0556946, StandingStill
-1, -0.0114517, -0.0534668, StandingStill
-1.00098, -0.010025, -0.0508423, StandingStill
-1.00098, -0.01194, -0.0539856, StandingStill
-1, -0.0115585, -0.0532532, StandingStill
-1.00098, -0.0133209, -0.0566406, StandingStill
-1.00195, -0.00829315, -0.0559387, StandingStill
-0.999023, -0.0147934, -0.061615, StandingStill
-1.00195, -0.012146, -0.0552368, StandingStill
-0.998535, -0.107239, 0.0568848, StandingStill
-0.998535, -0.0941162, 0.0543823, StandingStill
-1, -0.0501404, 0.0600891, StandingStill
-1, -0.0154266, 0.0479431, StandingStill
-1, 0.0240326, 0.0367432, StandingStill
-1, 0.0276184, 0.0512085, StandingStill
-1, 0.00470352, 0.0866089, StandingStill
-1, 0.00545883, 0.088562, StandingStill
-1, 0.00459671, 0.0895996, StandingStill
-1, 0.00365639, 0.0911255, StandingStill
-1, 0.00601578, 0.0876465, StandingStill
-1, 0.00143147, 0.0730591, StandingStill
-1.00098, -0.0039444, 0.0300903, StandingStill
-1, -0.0243073, -0.0389709, StandingStill
-1, -0.02771, -0.0874634, StandingStill
-1, -0.0227509, -0.0848389, StandingStill
-1, -0.0171814, -0.0831299, StandingStill
-1, -0.00957489, -0.0848389, StandingStill
-1, -0.00710297, -0.0823364, StandingStill
-1, 0.00727463, -0.0691528, StandingStill
-1, 0.0207672, -0.0575256, StandingStill
-1, 0.0195618, -0.0542908, StandingStill
-1, 0.0194397, -0.0527649, StandingStill
-1, 0.0147552, -0.0894165, StandingStill
-0.993164, 0.0174561, -0.149414, StandingStill
-0.998047, 0.0085144, -0.125854, StandingStill
-0.998535, 0.00747681, -0.119995, StandingStill
-0.998535, 0.00576782, -0.117004, StandingStill
-0.998535, 0.00592041, -0.112732, StandingStill
-0.999023, 0.00783539, -0.107666, StandingStill
-0.999023, 0.00891876, -0.105591, StandingStill
-0.999023, 0.010643, -0.104919, StandingStill
-0.999023, 0.0129395, -0.109558, StandingStill
-1.00684, 0.0151672, -0.0991821, StandingStill
-0.997559, 0.0302124, -0.0727539, StandingStill
-0.98877, 0.0158234, -0.0771484, StandingStill
-1.01367, 0.0163574, -0.0726318, StandingStill
-0.998535, 0.0240021, -0.064209, StandingStill
-0.999023, 0.00600052, -0.0828857, StandingStill
-0.995117, 0.0118408, -0.0715942, StandingStill
-1.00488, 0.0227203, -0.0493164, StandingStill
-1.00391, 0.019577, -0.0544739, StandingStill
-1, 0.0261383, -0.0552979, StandingStill
-1.00098, 0.0383301, -0.0451965, StandingStill
-1.00195, 0.0387573, -0.0520325, StandingStill
-1, 0.0208282, -0.0609741, StandingStill
-1.00293, 0.0236816, -0.059082, StandingStill
-0.993652, 0.00901031, -0.0620728, StandingStill
-1.00488, 0.0311279, -0.0487061, StandingStill
-1.00195, 0.0196991, -0.0482178, StandingStill
-1.00098, 0.0205231, -0.0467224, StandingStill
-1.00098, 0.019165, -0.0479431, StandingStill
-0.0699463, 0.0651855, -1.00293, CobraPose
-0.0678711, 0.0643921, -1.00195, CobraPose
-0.0692139, 0.0602722, -1.00293, CobraPose
-0.0670776, 0.0546875, -1.00195, CobraPose
-0.0678711, 0.0565796, -1, CobraPose
-0.0717163, 0.0787964, -1.00293, CobraPose
-0.0687866, 0.0822144, -0.998535, CobraPose
-0.0785522, 0.0706177, -0.997559, CobraPose
-0.0727539, 0.0612183, -1.00195, CobraPose
-0.0683594, 0.0433655, -1.00195, CobraPose
-0.0706787, 0.0557251, -1.00293, CobraPose
-0.0636597, 0.0595703, -0.999023, CobraPose
-0.0613708, 0.0755005, -1.00488, CobraPose
-0.0621033, 0.0689697, -1.00195, CobraPose
